Date,Open,High,Low,Close,Adj Close,Volume
12/1/2003,140,140,140,140,140,0
12/2/2003,138.479996,138.479996,138.479996,140,140,0
12/3/2003,135.850006,135.850006,135.850006,140,140,0
12/4/2003,135.880005,140,135.880005,140,140,0
12/5/2003,135.820007,138.5,135.820007,138.5,138.5,0
12/8/2003,138.5,138.5,138.5,138.5,138.5,0
12/9/2003,137.5,137.5,137.5,137.5,137.5,0
12/10/2003,134.880005,134.880005,134.880005,134.880005,134.880005,0
12/11/2003,137.5,137.5,137.5,137.5,137.5,0
12/12/2003,134.399994,134.399994,134.399994,134.399994,134.399994,0
12/15/2003,137.5,137.5,137.5,137.5,137.5,0
12/16/2003,133.910004,137.100006,133.910004,137.100006,137.100006,0
12/17/2003,134.289993,137,134.289993,137,137,0
12/18/2003,132.979996,132.979996,132.979996,137,137,0
12/19/2003,132.699997,132.699997,132.699997,137,137,0
12/22/2003,133.740005,133.740005,133.740005,137,137,0
12/23/2003,134.130005,134.130005,134.130005,134.130005,134.130005,0
12/24/2003,137,137,137,137,137,0
12/25/2003,137,137,137,137,137,0
12/26/2003,137,137,137,137,137,0
12/29/2003,137,137,137,137,137,0
12/30/2003,136.899994,136.899994,136.899994,137,137,0
12/31/2003,135.589996,135.589996,135.589996,137,137,0
1/1/2004,137,137,137,137,137,0
1/2/2004,137.75,137.75,137.75,135.309998,135.309998,0
1/5/2004,135.820007,135.820007,135.820007,137.75,137.75,0
1/6/2004,135.179993,135.179993,135.179993,137.75,137.75,0
1/7/2004,136.5,136.5,136.5,135.229996,135.229996,0
1/8/2004,136.5,136.5,136.5,136.5,136.5,0
1/9/2004,135.229996,136.5,135.229996,136.5,136.5,0
1/12/2004,136.5,136.5,136.5,136.5,136.5,0
1/13/2004,134.949997,134.949997,134.949997,136.5,136.5,0
1/14/2004,135.139999,135.139999,135.139999,136.5,136.5,0
1/15/2004,134.289993,134.289993,134.289993,136.5,136.5,0
1/16/2004,134.5,134.5,134.5,134.5,134.5,0
1/19/2004,135,135,135,136.5,136.5,0
1/20/2004,133.820007,136.5,133.820007,136.5,136.5,0
1/21/2004,133.889999,133.889999,133.889999,136.5,136.5,0
1/22/2004,134.199997,134.199997,134.199997,136.5,136.5,0
1/23/2004,134.210007,134.210007,134.210007,136.5,136.5,0
1/26/2004,136.5,136.5,136.5,136.5,136.5,0
1/27/2004,133.679993,133.679993,133.679993,136.5,136.5,0
1/28/2004,134.009995,134.009995,134.009995,136.5,136.5,0
1/29/2004,133.850006,136.5,133.850006,136.5,136.5,0
1/30/2004,133.630005,135,133.630005,135,135,0
2/2/2004,133.610001,133.610001,133.610001,135,135,0
2/3/2004,133.5,133.5,133.5,133.5,133.5,0
2/4/2004,133.5,133.5,133.5,133.5,133.5,0
2/5/2004,133.800003,133.800003,133.800003,133.5,133.5,0
2/6/2004,133.490005,133.490005,133.490005,133.5,133.5,0
2/9/2004,133.139999,133.5,133.139999,133.5,133.5,0
2/10/2004,133.339996,133.339996,133.339996,133.5,133.5,0
2/11/2004,133.119995,133.119995,133.119995,133.5,133.5,0
2/12/2004,133.070007,133.070007,133.070007,133.070007,133.070007,0
2/13/2004,133.5,133.5,133.5,133.5,133.5,0
2/16/2004,133.149994,133.149994,133.149994,133.5,133.5,0
2/17/2004,135.5,135.5,135.5,133.350006,133.350006,0
2/18/2004,133.539993,135.5,133.539993,135.5,135.5,0
2/19/2004,133.460007,133.460007,133.460007,135.5,135.5,0
2/20/2004,133.139999,133.139999,133.139999,133.139999,133.139999,0
2/23/2004,133.039993,133.039993,133.039993,135.5,135.5,0
2/24/2004,133.119995,133.119995,133.119995,133.119995,133.119995,0
2/25/2004,135.5,135.5,135.5,133.210007,133.210007,0
2/26/2004,135.5,135.5,135.5,135.5,135.5,0
2/27/2004,133.139999,135.5,133.139999,135.5,135.5,0
